File Code,BLS Code,BLS Region,BLS Region 2,Scenario Code,Scenario,Time_Slice,CO2 effects,CO2 ppm,Adapt- ation,wheat,rice,coarse grains,protein feed,,grains,four commo-dities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,3,GISS,Equilibrium,Yes,555,Level 1,-24,-16,-11,-10,,-17,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,4,GISS,Equilibrium,Yes,555,Level 2,-12,-8,-5,-5,,-8,-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,5,GFDL,Equilibrium,No,330,No,-43,-33,-20,-20,,-32,-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,6,GFDL,Equilibrium,Yes,555,No,-31,-22,-16,-3,,-23,-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,7,GFDL,Equilibrium,Yes,555,Level 1,-21,-14,-12,5,,-16,-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,8,GFDL,Equilibrium,Yes,555,Level 2,-10,-7,-6,5,,-8,-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,9,UKMO,Equilibrium,No,330,No,-52,-46,-27,-53,,-42,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,10,UKMO,Equilibrium,Yes,555,No,-40,-35,-23,-36,,-33,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,11,UKMO,Equilibrium,Yes,555,Level 1,-30,-27,-19,28,,-25,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,12,UKMO,Equilibrium,Yes,555,Level 2,-15,-13,-9,-14,,-12,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,25,CM3-A,2020,No,330,Level 1,-15,-15,-7,-10,,-12,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,26,CM3-A,2020,Yes,475,Level 1,-9,-11,-3,-2,,-8,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,907,L.A. High Inc. Cal. Imp.,Latin Amer 2,27,CM3-A,2050,No,330,Level 1,-27,-27,-14,-22,,-23,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
